Median Household Income (Current Year $),Total Population,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 1990,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Dwellings by Tenure Owner,Dwellings by Tenure Renter
49470.96,10066,131,269,48,236,1229,256,5060,0,2544,2278
72260.93,5189,91,906,397,338,134,1707,470,5,1650,455
140058.74,5125,100,270,293,287,307,1658,8,0,1506,66
90200.47,3991,47,939,352,23,19,1318,132,17,997,373
32029.37,4404,669,791,335,172,20,87,2154,5,321,1830
122382.86,6072,37,54,609,883,40,1740,75,0,1557,117
97573.14,7376,0,663,265,207,104,2157,633,125,1884,558
93956.9,4821,57,436,264,572,277,1495,138,8,1359,209
53434.71,1672,238,170,54,65,55,666,60,5,585,116
84789.07,6302,469,552,533,702,224,2164,466,5,1868,628
87920.06,4058,28,408,798,204,42,1226,296,0,965,486
130450.82,4440,86,616,255,268,102,1481,0,25,1396,52
46599.26,3292,687,390,154,120,38,22,1819,5,404,1298
67923.75,3790,833,511,131,127,92,932,872,0,971,757
105713.51,9616,48,10,14,31,1179,2441,35,4,2051,161
36313.82,7768,1117,1279,230,153,45,276,2739,14,794,2090
126717.85,6535,16,17,342,1115,243,1828,22,0,1568,114
91623.18,3152,1000,95,24,33,16,974,281,11,776,381
121705.57,1504,364,121,146,22,16,427,287,0,474,180
80155.66,2720,11,162,628,132,0,786,152,0,787,113
84305.42,3631,90,981,100,29,0,1428,0,5,1175,135
80141.84,8165,686,1528,248,122,163,1406,1709,0,1855,1120
94547.46,5342,92,665,571,147,16,1377,639,3,1048,786
74797.59,4993,1714,260,66,58,22,1677,622,22,1391,767
38459.96,4733,741,589,303,47,44,704,1196,16,1048,729
104128.21,5949,31,413,1343,121,0,1804,161,0,1638,163
52746.99,6130,90,1787,264,315,24,1589,937,0,1394,1019
55971.28,5329,1003,751,358,212,93,1144,1505,4,1004,1459
107330.29,4480,236,966,148,90,37,1147,437,0,1043,434
81571.64,4662,54,734,71,232,110,1541,24,0,1375,120
46172.32,6669,612,2069,368,280,76,38,4078,0,388,3391
55204.25,2657,953,278,54,3,10,957,386,0,827,428
109986.59,4102,33,45,59,273,289,1101,138,0,1083,108
109720.9,5204,0,18,47,1383,63,1527,25,0,1299,140
74915.36,2721,166,470,186,223,78,842,307,124,857,351
111483.41,5889,36,426,282,417,305,1899,44,0,1723,79
76881.23,2434,450,397,27,27,11,950,6,0,751,147
111791.63,7809,91,188,111,855,220,2244,342,5,1984,390
116933.09,6239,0,10,10,21,597,1848,31,0,1532,157
49983.04,3999,1169,266,92,59,43,0,2389,0,768,1343
35968.89,1907,452,219,54,57,0,40,748,0,12,786
92815.3,9284,558,761,373,711,63,2810,506,5,2386,659
68116.3,3237,698,527,46,77,21,748,695,0,833,594
105342.72,6137,20,27,333,586,194,1715,197,0,1517,293
43139.86,2935,914,331,99,52,14,16,1429,62,350,1055
70383.55,4291,143,1236,210,91,63,1321,294,248,1348,408
82106.36,7798,8,160,1000,970,41,1225,1338,4,1786,545
31704.52,8220,916,1727,311,424,125,407,3411,4,624,2961
54491.27,7040,505,1899,169,38,15,904,1756,11,1774,745
43743.29,1519,422,149,37,26,0,194,467,0,250,396
37841.19,4257,551,981,136,151,51,766,1275,17,726,1329
30294.88,623,112,184,19,15,3,154,184,0,100,235
76159.14,5902,56,93,314,520,173,1577,227,0,1299,320
90450.47,9006,191,779,560,608,374,2645,34,630,2915,193
48451.05,5986,559,355,175,567,52,940,1000,0,1321,482
100424.39,11370,32,29,198,97,496,3389,303,3,2967,470
110135.84,8770,0,0,13,78,592,2351,224,7,2094,275
69774.49,6592,132,66,109,235,558,160,3265,0,2127,1007
70338.18,5324,1469,557,134,110,11,1008,1343,5,1039,1173
103793.07,3766,35,84,583,513,76,985,425,0,1126,191
68202.22,2951,682,407,129,86,0,602,780,0,641,646
81410.04,6468,331,587,154,94,32,1057,1507,0,1170,1019
89486.91,5142,390,966,406,194,63,1263,831,4,1655,451
39090.41,3883,857,540,77,74,13,99,1484,5,341,1211
34167.36,5563,924,1092,282,156,108,748,2331,25,445,2357
43750.61,1974,532,92,18,23,0,669,65,5,418,268
76156.73,4498,996,340,27,42,52,1198,290,4,1272,168
46479.24,3305,520,753,161,82,54,324,1434,11,477,1212
125000,5,1,1,0,0,0,2,0,0,1,1
82372.97,6637,228,303,221,821,530,2174,26,0,1873,263
58574.6,4120,250,632,366,128,84,1143,575,0,988,609
82197.72,3668,77,393,352,229,74,1076,321,0,910,410
109187.72,5035,19,45,281,772,270,1422,81,0,1222,187
83597.81,3758,369,925,36,10,0,1291,72,0,938,374
75675.56,6163,0,100,727,698,70,1572,95,0,1204,349
73317.92,4583,234,857,254,129,57,1436,440,10,1340,500
36170.57,2543,871,223,46,68,11,232,984,40,319,927
93254.84,6292,41,120,765,245,31,1662,123,0,1386,166
81657.06,4284,178,874,366,154,78,938,824,21,969,717
88037.41,4384,15,1430,124,135,15,1513,250,0,1236,417
110619.83,5101,0,0,6,231,1117,1668,0,0,1447,103
77827.74,6438,168,1083,537,446,227,2177,539,19,2211,521
97017.62,7548,0,10,89,1422,214,1703,147,0,1507,162
51256.44,2801,788,203,56,64,50,729,574,4,609,671
47751.4,108,0,8,8,7,8,34,0,0,2,6
108476.77,14476,2,23,129,722,861,4038,311,0,3524,298
78448.74,4764,513,1469,88,30,3,1332,799,0,1084,984
47139.03,7761,414,2345,202,141,26,496,2712,0,1080,1987
0,0,0,0,0,0,0,0,0,0,0,0
98435.55,4785,23,108,955,611,83,1331,513,0,1570,145
36387.9,1760,410,120,45,28,11,421,283,2,288,382
47600.98,3490,423,519,174,303,102,314,1476,26,629,1034
49435.06,4177,909,365,134,139,70,638,1159,9,859,854
96768.89,6188,328,802,284,251,90,2096,45,63,1851,163
68566.18,11833,32,120,62,196,1311,2979,1465,1,3391,705
68857.39,2793,137,644,199,52,25,1040,118,10,951,181
82137.16,3742,803,350,33,3,9,976,309,0,1039,165
38190.98,4369,634,790,127,56,13,1058,621,0,900,701
118932.57,2429,0,10,0,0,2,883,7,7,574,85
28007.05,2788,1038,404,109,80,30,100,1567,35,269,1403
114968.24,4615,1211,100,72,82,136,1361,369,0,1277,343
45959.2,116,3,7,0,7,12,33,0,7,21,9
25184.26,1710,120,697,176,68,0,145,928,0,105,969
29272.39,2711,838,575,194,119,18,350,1448,53,355,1470
90966.12,5126,327,1286,112,86,54,1848,159,0,1886,106
95306.01,5190,771,570,192,258,128,1712,441,2,1775,358
53018.59,1644,183,219,80,71,25,566,86,7,553,99
80077.11,6822,1584,432,305,152,272,2183,630,0,1995,760
33328.46,6026,758,1399,447,307,26,246,2922,4,616,2447
97192.87,4476,3,29,211,937,151,1373,112,0,1156,167
109737.73,5162,496,505,316,234,96,1730,53,15,1487,238
54222.1,6485,1128,827,111,61,3,1206,977,5,1272,797
50549.31,5476,132,1004,407,117,16,582,1128,0,939,675
86937.87,14690,56,325,465,418,454,3234,921,4,2880,842
83337.12,7639,34,124,1110,531,173,1544,502,5,1545,380
94746,5114,200,725,273,470,89,1608,265,17,1500,278
32843.08,4273,1050,1287,197,71,2,90,2798,5,406,2209
71721.99,5235,82,1395,130,40,8,1327,396,0,1074,515
58721.78,2409,156,826,133,56,16,769,426,0,814,385
111280.9,2165,104,200,45,97,0,729,0,23,646,52
58995.41,3912,383,720,152,190,97,1008,696,5,1090,621
92570.69,6925,15,285,1000,747,40,2153,196,4,1805,436
80000,5631,1039,889,113,151,15,1387,1037,4,1261,967
40644.38,8357,120,561,799,1213,128,31,4161,7,2181,1659
39650.75,1598,494,201,85,27,22,11,887,0,174,649
58159.7,4583,160,1027,175,429,64,1108,819,6,1156,770
59493.57,3827,1332,99,37,60,26,1162,430,9,1024,475
38942.51,6448,732,1197,348,129,74,357,2177,0,630,1844
93748.35,8963,0,8,9,48,1682,2184,23,0,1919,110
31199.48,2071,294,408,85,76,30,270,839,0,269,769
98807.72,7123,0,0,0,29,92,1725,151,0,1343,413
127339.11,1605,265,118,70,33,10,529,20,0,426,112
88060.98,1689,466,148,17,68,6,487,295,0,476,267
44736.7,5097,426,1256,433,148,19,857,1486,0,567,1686
100334.07,4741,383,1268,51,29,17,1730,72,0,1468,254
39377.47,3655,501,719,182,419,262,70,2379,0,435,1829
48215.04,3043,846,433,72,43,0,845,615,4,735,635
37915.14,1700,488,215,77,44,3,22,854,5,141,660
46317.92,2299,652,316,49,43,52,432,825,0,403,835
40897.28,3595,717,582,167,77,60,251,1393,5,465,1114
108505.72,6693,107,910,659,395,27,1540,697,7,1778,333
48071.68,4844,1087,546,153,150,28,1536,486,10,1110,881
34286.84,3453,1038,455,151,146,59,5,2118,48,512,1551
60532.06,8521,707,1628,676,856,200,485,4633,22,2121,2654
52199.62,1673,57,132,33,49,118,120,658,3,458,259
97344.71,4094,121,395,334,247,103,1341,119,31,1246,147
84784.36,9011,324,691,388,311,500,2821,347,42,2852,206
79416.61,5406,867,675,140,272,104,2083,62,32,1859,258
37436.17,2508,561,711,97,27,21,5,1460,0,238,1178
80995.66,2,0,1,0,0,0,1,0,0,1,0
67392.43,3619,69,469,383,106,33,1117,203,4,747,508
76744.86,4197,74,796,298,320,61,1277,333,0,1074,444
48521.92,4016,1160,596,134,101,23,47,1985,24,532,1486
37065.62,7762,929,2176,665,351,200,224,4354,13,492,3834
75089.34,195,28,46,0,4,0,74,5,0,72,8
104315.53,5041,0,20,43,595,478,1171,708,0,1178,608
110808.26,4485,875,145,125,187,68,819,835,0,1158,438
50943.54,4405,995,642,254,126,45,739,1430,29,670,1330
125203.56,8527,20,85,65,237,551,2654,127,61,2418,209
142652.06,5262,0,259,646,414,266,1632,0,0,1550,29
50165.6,2230,827,227,62,17,10,5,1147,14,300,825
133780.8,3452,13,40,421,614,26,1130,10,5,993,83
101084.24,6584,2,2,10,959,831,1890,49,0,1719,134
115679.99,9668,10,51,146,1573,286,3318,181,0,2725,436
80781,1386,263,129,45,58,26,505,68,0,485,71
73670.1,8428,793,769,1042,807,525,514,4280,52,2412,2035
73699.94,10006,720,1456,333,190,178,2711,1191,0,2857,770
107664.01,5030,79,1590,229,33,0,1745,237,0,1553,334
70191.85,4577,234,1382,154,78,10,1232,635,4,1017,808
87434.59,4611,102,962,170,138,20,916,868,3,1279,399
104219.92,1234,84,75,24,0,12,204,29,2,116,56
121041.82,3014,724,248,109,16,11,1003,133,0,1059,80
103247.11,6659,30,224,1157,611,85,1772,465,46,1926,222
74710.08,1679,70,223,114,97,31,553,97,10,503,138
100159.07,5912,1,27,297,645,594,1358,1029,0,1119,1024
46167.19,2471,1260,87,44,50,14,25,1431,27,426,1041
56868.78,1488,0,106,110,178,40,349,57,196,490,81
104391.26,8061,266,234,110,97,277,2563,51,5,2138,264
96583.16,8216,9,216,457,1378,253,1945,907,147,2304,528
49762.6,1597,289,561,97,27,0,0,1000,0,62,887
45061.31,6821,1788,736,187,112,15,148,2789,24,1024,1811
85193.39,1281,10,209,186,63,0,396,75,4,292,167
79264.76,5248,172,864,642,316,50,1307,900,18,1541,662
72567.75,3269,76,805,158,29,0,992,138,0,857,222
52264.11,7307,1471,609,130,128,134,583,2787,24,1498,1695
117271.66,3248,31,797,301,0,0,1106,32,0,1054,44
132188.06,4110,295,198,518,168,116,1337,77,0,1130,170
68803.62,9269,226,323,1195,1361,322,334,4457,0,2987,1649
54083.2,5794,773,981,352,203,90,1496,1079,5,1668,914
38045.37,2467,542,316,142,59,85,28,1322,0,354,898
54375,15,0,1,1,1,1,5,0,0,5,0
85229.31,2615,643,387,23,14,7,864,242,0,749,329
82487.17,3885,10,249,455,295,210,1218,165,15,1106,202
95795.78,3306,13,15,14,347,322,744,46,0,614,89
148630.48,5911,0,72,689,235,464,1692,26,0,1511,86
46107.82,4144,665,704,144,180,47,779,1121,0,850,965
76879.34,8064,79,1001,566,638,127,1757,936,0,1922,654
43159.94,3824,1179,257,125,63,31,281,1510,5,605,1089
93099.23,10544,37,67,66,888,710,3031,465,33,2934,398
106613.96,6422,169,764,377,147,268,2151,21,4,1919,150
61033.45,8188,435,1425,642,278,339,1834,1937,6,1657,1975
77458.81,10258,9,42,232,1216,706,2304,299,0,1927,463
53811.3,4655,1033,536,459,166,55,54,2720,9,824,1798
101598.01,7802,574,507,917,337,200,2282,396,0,2096,400
71463.03,5481,1029,1006,85,62,16,2014,264,0,1738,394
50770.06,3293,1152,290,89,35,3,1110,467,5,993,563
55541.5,2708,939,120,13,34,0,931,220,6,788,273
55817.11,9628,134,665,333,1515,187,479,4076,1,2920,1346
102846.63,9982,2,2,2,46,829,2594,365,0,2043,627
100000,1591,0,9,34,221,174,612,30,0,590,11
83949.93,7812,77,1735,509,219,13,2164,688,0,2201,354
76942.27,4809,349,454,495,205,83,1408,124,359,1311,492
48683.66,3717,1371,338,116,58,17,1078,860,16,922,947
131770.52,7019,0,32,485,1344,249,2102,90,0,1929,129
88093.71,7464,201,1211,294,134,68,1688,803,5,1721,642
78551.72,4988,97,207,120,297,479,1178,803,4,1312,531
84499.62,6895,11,72,998,290,345,1249,1293,0,1677,572
108845.5,8001,17,81,575,811,560,2241,87,0,2025,111
74607.98,3255,65,98,58,208,238,793,355,0,620,226
43914.45,3110,171,879,130,33,0,88,1148,0,441,766
109657.81,5549,62,321,411,416,257,1778,211,0,1639,209
48061.47,4553,1093,589,220,155,22,1010,1141,4,956,1071
94043.92,9141,12,12,0,526,1556,2442,56,0,2151,121
77245.81,1079,232,148,29,15,0,393,46,0,386,57
53474.05,8698,104,712,1162,1225,150,885,2838,0,2299,1236
127136.14,5107,1089,645,26,46,0,1758,107,0,1603,213
95606.11,9989,267,622,557,610,455,2980,675,4,2929,485
104057.7,3012,25,528,397,126,11,983,126,0,854,249
98207.06,9577,3,297,573,550,590,2500,1169,0,3111,269
98558.94,4731,38,1513,265,73,0,1690,212,0,1654,225
86232.81,3778,370,411,208,294,105,1149,425,5,1110,414
77401.03,5173,56,1039,267,67,64,1358,487,0,993,674
64633.29,8322,108,1061,829,687,142,1415,1275,451,2143,844
105932.46,5070,9,31,143,1561,209,1420,674,0,1778,174
61959.73,4385,630,775,237,35,0,1270,467,0,1051,586
90241.78,5816,122,949,262,145,46,1344,531,2,1365,385
58549.02,6294,44,743,860,112,20,1245,637,4,1335,496
58460.6,3818,1087,715,94,46,9,177,1975,21,502,1507
26946.18,6810,1266,1096,370,171,56,10,3014,23,144,2805
119643.92,4085,9,1354,35,19,68,1460,86,0,1370,75
89223.1,3354,0,43,227,490,242,750,498,0,753,464
80083.61,2649,823,197,30,44,10,704,420,9,688,399
75272.75,5166,725,1321,35,56,9,1743,449,5,1713,469
113503.31,5999,306,531,563,392,163,1976,152,9,1733,273
111863.68,7524,3,11,20,1502,462,2087,54,0,1868,94
54746.51,4055,958,359,145,78,87,499,1311,10,760,974
95780.35,5313,90,481,203,371,81,1561,381,4,1557,218
74131.26,5074,45,1005,531,233,166,1731,135,275,1530,470
74842.32,2087,149,516,18,24,13,593,164,5,597,132
65434.45,4638,523,1058,198,110,30,1656,360,4,1447,506
121963.11,9271,538,723,597,323,175,3083,64,3,2734,185
105466.78,9646,58,664,634,687,422,2910,578,31,3016,360
75509.89,5539,11,332,446,759,399,1368,1119,0,1685,726
70865.23,4675,291,842,241,130,66,1466,434,109,1560,370
103913.98,6023,391,1162,158,90,33,1381,594,5,1605,316
31923.09,882,264,74,106,22,0,15,534,5,97,441
167122.47,3073,36,138,206,276,140,1034,29,16,712,219
80159.74,3433,217,488,198,174,30,1039,226,74,1024,239
91094.8,6427,106,1084,186,276,175,2115,300,0,1650,603
65568.63,2800,220,572,155,123,32,811,424,6,614,558
48554.03,4259,604,632,386,147,63,746,1192,10,398,1387
57474.7,5537,233,913,562,522,107,814,1680,6,1059,1299
80223.34,4349,59,518,469,267,97,1113,461,10,1099,385
51049,2779,335,408,240,186,41,285,1287,0,224,1104
78735.58,1779,483,101,52,10,34,248,437,22,364,294
76249.45,6306,33,1276,371,62,3,1384,404,0,1516,166
113605.73,5348,33,1789,110,9,9,2027,15,0,1756,147
118864.96,6960,0,0,8,287,976,2051,5,0,1764,215
108962.58,7324,118,309,120,157,250,2017,289,45,2005,145
86727.22,10402,0,111,763,422,442,2945,945,0,2680,706
55523.9,5590,138,808,569,498,59,1494,629,4,1135,896
51561.21,1337,155,230,99,35,26,495,45,62,509,74
34726.02,2793,662,549,109,40,19,424,979,10,579,833
68530.99,4136,149,1160,434,79,17,1095,825,5,1298,653
105998.4,6737,87,1460,276,71,60,1464,598,0,1667,333
106365.99,2803,4,461,499,79,0,1097,0,0,892,123
73976.69,7261,122,979,234,224,164,1009,1060,31,1189,734
111409.66,7816,0,26,123,1419,527,2541,5,0,2140,206
46878.5,5091,1649,528,74,39,20,1350,1002,4,1139,1141
70127.86,2768,557,473,22,31,0,309,789,0,601,456
42990.16,7735,1398,1713,524,184,43,597,3617,61,1365,2762
30320.08,3144,334,643,192,87,18,0,1318,0,3,1226
118943.89,8515,191,757,485,476,176,2860,53,38,2769,92
48697.16,6486,266,1011,581,265,65,836,1522,0,1012,1241
53745.64,5950,1562,767,145,108,40,1823,949,8,1606,1079
47390.63,3539,851,582,107,78,61,26,1744,5,441,1241
54658.35,999,330,108,0,31,0,283,192,4,234,234
40000,3031,292,734,104,49,0,16,1210,0,310,854
77664.88,4613,74,854,571,347,163,1248,838,0,1359,664
56220.24,261,10,10,30,26,0,72,0,6,36,0
88120.29,3158,653,478,128,38,0,556,792,5,763,594
51604.44,5033,780,785,321,477,217,712,2116,13,1057,1595
47884.39,7845,1540,1414,341,193,36,652,2990,0,805,2603
57821.52,152,59,12,0,0,0,68,4,0,47,27
93799.34,8072,40,194,770,427,364,2050,496,0,2278,143
35364.56,9869,1007,1312,676,1034,304,236,5734,10,1624,3946
90212.53,8912,597,799,338,655,262,3049,446,5,2730,564
80165.38,6001,729,771,415,79,13,1002,1055,0,1295,650
46755.01,2830,1124,293,37,20,0,21,1455,50,464,974
50217.67,4088,43,979,450,278,11,540,1261,0,1275,426
78664.04,6445,308,765,401,469,142,2124,398,67,2206,332
49352.68,5737,1239,551,242,57,11,748,1445,12,1162,968
58011.82,2794,200,664,35,37,0,704,400,0,633,373
75719.91,7068,791,683,297,307,542,1758,1764,42,1865,1364
87431.66,9643,36,99,771,959,803,1610,2469,0,3281,641
113821.69,8439,894,529,561,304,24,2797,138,9,2465,218
56062.49,3686,104,760,175,79,12,854,310,0,603,524
72760.53,4927,619,496,232,229,119,1279,969,0,1288,788
40356.51,4420,169,944,644,170,25,5,2013,0,547,1366
95216.82,6625,662,921,255,374,46,2190,374,9,2034,451
77868.21,5878,76,271,509,458,336,1693,403,4,1640,365
72421.22,6664,450,1216,434,212,137,1592,1192,0,1362,1331
88931.06,4599,246,636,179,485,128,1690,59,5,1591,116
100031.84,6986,0,21,52,1181,399,1927,34,0,1655,140
71636.86,5555,1461,591,82,82,49,1238,1082,4,1321,988
76699.49,7816,378,760,328,642,478,2381,714,69,2265,795
74538.7,4040,25,161,573,615,32,923,648,0,1221,191
35299.28,2612,636,622,67,16,0,10,1363,0,135,1180
97048.1,1972,40,11,11,71,271,585,74,0,447,142
82560.62,5628,210,841,749,278,116,1639,913,5,1679,815
77981.55,6094,1491,475,84,108,61,1765,555,0,1692,477
35536.9,2969,883,361,136,50,13,10,1460,0,187,1246
79232.58,6213,274,657,994,830,71,158,3040,21,1486,1500
115626.67,4128,1292,144,32,18,32,968,626,6,1122,382
117231.27,6101,2,33,9,27,663,1888,148,0,1683,188
45298.84,2274,930,267,41,26,0,226,1036,5,391,871
51271.47,5652,750,1269,277,310,56,285,2526,15,790,1895
103387.55,3052,480,306,74,175,71,1196,5,0,972,171
61481.93,6317,31,1036,915,299,25,1042,1464,0,1430,819
58392.14,5860,143,1253,737,236,106,1377,1341,0,1524,1024
101929.13,7428,96,1769,453,150,11,2042,551,1,2183,278
59729.14,2233,627,218,35,7,0,874,59,0,757,113
77314.09,3698,167,32,3,9,42,0,2254,0,1047,987
54845.51,6288,948,1421,387,137,13,403,2526,0,1079,1796
71548.37,4955,1372,281,89,85,25,740,1097,102,1049,739
82372.81,6246,48,22,10,223,771,1418,219,10,1275,255
89285.13,4121,60,838,406,18,16,1282,191,0,1184,185
73513.89,5524,929,822,127,176,26,1511,763,0,1341,761
46576.26,6912,64,158,683,593,166,0,4463,0,1378,2681
85122.55,7755,221,519,161,498,426,2922,268,10,2613,423
54528.38,4540,1196,668,74,73,57,1119,1051,4,1234,867
107844.7,16766,13,24,37,738,879,5117,623,4,4590,578
103437.96,4052,0,18,44,1189,176,1461,11,5,1249,134
100442.81,7386,78,1150,335,674,342,2533,188,12,2539,165
82107.34,5496,46,72,704,438,225,1293,930,5,1907,198
76221.22,6854,26,82,120,1029,846,1379,1130,0,1588,717
107360.33,4870,3,3,84,752,221,1453,117,0,1459,30
43791.83,4463,101,1121,290,100,35,761,1022,0,858,834
82524.15,4907,55,714,557,314,81,1691,231,0,1624,249
54019.46,5645,1926,495,48,46,15,2044,572,0,1601,815
93046.57,2862,46,616,30,10,2,820,321,0,657,383
108600.37,5747,318,622,616,403,144,2145,284,5,2072,323
17668.17,1206,297,203,31,17,7,39,525,0,2,582
232377.38,6496,7,11,7,358,458,1825,12,0,1572,67
42123.4,5348,411,672,166,200,137,430,1718,0,761,1206
50259.38,2926,1062,308,93,79,21,16,1568,34,457,1062
91643.97,3457,65,264,490,354,50,1178,140,0,1163,119
47742.23,3303,930,751,95,34,14,6,1829,0,526,1230
70500.27,4168,952,254,107,39,79,387,1158,5,842,617
78123.43,7478,79,792,398,472,315,1882,1124,0,1850,1026
40279.3,4558,417,1208,182,113,19,188,1848,5,335,1615
94966,9083,39,724,672,300,217,2898,106,0,2554,165
45571.93,4299,500,1466,374,91,19,59,2689,5,640,1909
57168.33,3380,1238,208,46,16,24,383,1195,5,617,847
90133.61,4335,211,681,431,133,15,1364,183,4,1310,221
49472.82,3893,218,1120,84,51,73,16,1565,4,526,981
85048.48,9573,247,750,562,441,419,2712,764,104,2807,658
44073.86,3432,109,447,450,420,72,534,1083,6,839,680
72629.76,7358,57,1075,829,68,19,1620,537,4,1276,701
87786.17,3476,754,354,171,44,12,966,782,5,891,727
96922.07,2937,995,95,56,0,0,649,527,0,774,355
89816.15,3592,186,247,119,104,104,1055,109,8,860,264
88118.68,5641,348,1126,192,194,61,1681,451,5,1179,753
56269.47,6494,1171,1283,461,144,28,2067,1046,0,1822,1238
116288.58,4470,50,216,778,173,72,1335,99,0,1225,85
29880.39,1734,475,176,60,51,0,94,719,0,145,635
80191.95,5444,93,1167,234,90,13,996,652,4,1234,280
34864.5,4467,510,276,261,610,228,520,1596,5,621,1360
88545.42,5833,1244,576,152,56,35,953,1221,0,1051,987
92101.99,5940,2,10,0,16,10,1790,130,0,1412,393
89144.11,6631,0,0,0,99,784,1778,10,0,1602,78
38029.79,3031,682,517,102,32,10,104,1273,16,338,1002
73091.46,7379,173,1940,146,128,36,1860,712,0,1830,619
53720.61,3152,1137,144,33,23,0,598,750,0,629,674
50000,394,4,1,0,0,0,0,8,0,2,3
100087.12,7102,157,239,81,643,775,1866,830,5,2020,456
141854.44,4074,161,763,139,80,30,1089,157,5,1005,226
56622.09,5195,812,766,129,126,25,775,1136,5,867,991
47916.22,7330,1051,1079,316,192,71,658,2188,9,1118,1619
50862.19,3907,1047,477,80,41,12,749,957,0,749,893
143978.87,4544,56,542,173,326,144,1326,153,89,1352,134
41920.46,5821,294,1024,317,202,33,33,2787,0,614,1954
40646.46,3588,1295,496,83,26,20,0,2009,15,425,1479
59959.51,3923,70,1383,72,35,14,1079,508,0,1163,397
39645.94,5019,1235,928,285,252,15,176,2678,10,615,2160
113566.67,2652,526,370,9,14,9,910,44,0,859,64
53533.02,6519,123,1183,893,257,25,459,2097,0,655,1675
48866.97,4371,321,1491,178,45,14,907,1209,5,1127,977
76323.79,2405,19,420,397,24,14,877,22,0,625,210
44209.19,5765,10,12,51,749,969,5,2400,5,1473,793
86977.78,4768,184,418,276,199,305,1510,74,9,1403,123
62675.3,2121,338,481,15,3,10,482,366,4,576,272
134681.56,622,0,24,0,88,7,211,0,0,170,0
93390.72,7121,9,15,127,1343,148,1475,267,0,1366,226
93779.64,4831,184,1042,254,94,34,1623,92,0,1449,154
133364.04,4777,1369,85,58,22,11,1417,254,0,1360,201
113254.52,5882,1546,340,43,70,69,1834,467,0,1814,349
108445.39,10885,79,860,58,48,296,3450,193,202,2916,505
64785.52,3425,241,418,136,100,61,1205,151,30,1100,206
50290.46,1129,356,135,15,3,0,420,91,0,388,118
86386.07,6730,592,996,452,171,54,1517,908,4,1676,692
72681.35,4825,118,272,457,486,117,671,995,0,1012,548
92242.36,3029,731,213,10,0,31,1024,42,0,926,71
92067.63,9562,181,173,153,646,295,1533,1567,24,2075,791
102350.26,971,102,85,50,63,10,334,11,0,274,39
46379.71,4061,127,631,590,200,25,704,1078,5,737,981
111376.96,7966,180,648,656,266,39,2332,274,7,2053,339
44554.05,3212,479,780,338,161,14,6,2008,0,438,1327
76000.81,5164,613,361,254,399,91,653,1390,0,1184,740
57710.93,5647,1655,516,281,203,92,1732,1093,8,1533,1186
95484.05,6549,0,22,208,1568,150,1604,423,0,1725,130
67946.12,5616,78,1300,234,68,6,1028,699,6,1314,319
40423.5,1763,661,159,67,46,15,10,970,5,179,744
82318.8,5774,1741,236,66,94,0,1812,473,0,1808,378
74765.03,6047,197,830,493,106,24,1170,524,0,1121,471
34864.87,2435,746,300,94,37,36,806,511,13,629,622
112456.86,2668,31,638,185,63,26,990,5,5,926,36
