Median Household Income (Current Year $),Total Population,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 1990,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Dwellings by Tenure Owner,Dwellings by Tenure Renter
84738.02,7871,1802,260,91,189,337,2092,1002,4,2183,704
103938.02,5477,311,491,354,352,179,2000,43,68,1868,144
81087.56,5888,405,610,342,320,143,1893,62,269,1733,377
121741.91,3453,10,563,466,26,3,1082,10,0,1001,56
37064.08,1763,184,204,45,317,137,151,898,4,527,482
149022.1,2642,584,65,69,70,46,843,158,4,739,164
58979.1,4439,471,879,175,51,101,964,929,5,1151,672
82402.91,4960,33,248,193,700,344,1403,429,0,1448,294
89557.31,7156,64,625,600,248,72,970,860,5,1211,522
36466.43,892,252,120,23,41,17,135,324,0,92,342
42860.58,2049,827,182,46,32,3,0,1141,10,269,809
48150.84,2786,939,116,10,0,3,854,225,15,732,288
36793.26,2958,697,320,199,44,32,275,1228,6,331,1096
52786.74,5204,258,1419,109,169,3,408,1587,0,696,1210
88698.15,3797,194,596,194,263,40,1340,51,44,1336,87
47882.19,4251,192,1178,59,71,28,26,1719,0,583,1088
80793.23,880,33,110,44,30,49,309,21,11,287,33
46545.41,860,346,35,4,0,0,332,50,5,250,131
86357.45,5062,1168,278,309,500,71,559,1932,5,1214,1150
32789.46,4261,682,376,178,60,13,331,1167,5,246,1086
103991.02,5362,103,1653,120,161,35,1757,342,0,1526,527
76944.85,6540,1392,1139,235,140,114,1089,2228,0,1010,2044
101709.74,5098,422,436,141,367,498,1026,1088,0,1347,617
56024.42,6683,734,972,356,270,120,1859,1008,84,1534,1195
74322.16,6981,328,893,342,260,201,2419,228,21,2216,328
69266.16,3925,52,1045,118,75,16,1002,324,0,610,670
111252.23,9875,3,10,0,110,1639,2373,766,0,2611,356
78576.07,11928,68,286,192,378,834,3285,1007,5,3828,341
62979.05,5641,777,339,314,497,119,1927,170,4,1504,530
93420.13,5056,78,1018,212,122,20,796,743,0,1185,305
87343.62,2528,873,113,44,58,0,570,578,5,615,486
65755.03,4072,786,343,126,229,123,1090,718,5,1114,599
88658.23,1692,62,152,78,97,86,572,40,24,503,106
58637.95,6101,340,1768,674,336,191,62,3535,0,1194,2034
67845.86,3013,226,396,228,104,69,1088,131,6,1017,168
81304.47,2287,759,171,13,24,0,887,92,0,843,108
97081.29,3164,0,0,0,45,679,807,18,0,687,43
75184.39,4467,135,710,214,156,24,1122,380,0,973,431
47215.61,3915,1330,286,52,52,0,1156,631,7,1062,673
105061.88,4251,272,532,559,178,9,1349,237,0,1310,221
43629.04,3743,1033,692,211,97,17,33,2141,5,615,1430
31810.79,5125,715,1138,345,318,160,108,2864,10,320,2450
89312.06,10903,14,383,1028,367,83,2954,632,0,2687,468
78218.03,4256,477,568,235,70,72,1323,273,202,1579,199
37999.6,6685,0,16,37,489,1099,684,2588,0,2156,748
75139.93,4304,0,97,621,891,68,706,1111,0,1338,339
90630.65,6839,468,1148,282,361,128,2539,183,5,2281,374
77824.29,10952,208,131,482,351,750,22,6658,0,2731,3329
96109.63,6365,0,14,23,247,275,1612,1194,5,1665,753
114273.3,4771,786,503,171,67,16,1591,87,0,1469,95
55669.09,7028,235,1072,925,778,91,0,3806,0,1549,1987
40458.91,1465,553,142,54,30,0,25,758,65,186,656
66694.17,5742,1078,939,211,78,56,2090,325,5,1759,591
83278.27,6066,82,388,453,644,331,2191,59,15,1784,310
32192.76,3649,810,490,71,85,12,66,1449,0,409,1083
34480.61,5027,155,542,578,350,91,123,2312,21,934,1334
